"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 04:43:44 UTC 2024","Wed Apr 03 04:43:49 UTC 2024","4932","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Apr 03 06:40:55 UTC 2024","Wed Apr 03 06:41:00 UTC 2024","5288","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Wed Apr 03 04:43:49 UTC 2024","Wed Apr 03 04:43:50 UTC 2024","1455","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Apr 03 03:41:24 UTC 2024","Wed Apr 03 03:41:28 UTC 2024","4600","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Apr 03 06:11:37 UTC 2024","Wed Apr 03 06:11:45 UTC 2024","8365","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Apr 03 03:50:40 UTC 2024","Wed Apr 03 03:50:41 UTC 2024","367","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Apr 03 03:17:14 UTC 2024","Wed Apr 03 03:17:22 UTC 2024","7940","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Apr 03 03:46:48 UTC 2024","Wed Apr 03 03:46:50 UTC 2024","1776","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Wed Apr 03 03:41:28 UTC 2024","Wed Apr 03 03:41:48 UTC 2024","19883","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Apr 03 06:43:11 UTC 2024","Wed Apr 03 06:43:15 UTC 2024","4221","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Apr 03 06:41:59 UTC 2024","Wed Apr 03 06:43:07 UTC 2024","68537","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"failed","Wed Apr 03 05:05:37 UTC 2024","Wed Apr 03 05:08:16 UTC 2024","158823","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Apr 03 03:55:13 UTC 2024","Wed Apr 03 03:56:22 UTC 2024","69480","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed Apr 03 03:58:02 UTC 2024","Wed Apr 03 03:58:19 UTC 2024","17015","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Apr 03 06:08:56 UTC 2024","Wed Apr 03 06:08:59 UTC 2024","2574","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Apr 03 02:28:00 UTC 2024","Wed Apr 03 02:29:03 UTC 2024","62854","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed Apr 03 03:17:00 UTC 2024","Wed Apr 03 03:17:14 UTC 2024","14097","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Apr 03 03:05:25 UTC 2024","Wed Apr 03 03:05:26 UTC 2024","618","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
